date,open,close,low,high,volume
2020-02-13,2927.14,2906.07,2901.24,2935.41,2748048.5
2020-02-14,2899.87,2917.01,2899.57,2926.94,2506506.25
2020-02-14,2899.87,2917.01,2899.57,2926.94,2506506.25
2020-02-14,2899.87,2917.01,2899.57,2926.94,2506506.25
2020-02-14,2899.87,2917.01,2899.57,2926.94,2506506.25
2020-02-14,2899.87,2917.01,2899.57,2926.94,2506506.25
2020-02-17,2924.99,2983.62,2924.99,2983.64,3131980.0
2020-02-17,2924.99,2983.62,2924.99,2983.64,3131980.0
2020-02-17,2924.99,2983.62,2924.99,2983.64,3131980.0
2020-02-17,2924.99,2983.62,2924.99,2983.64,3131980.0
2020-02-17,2924.99,2983.62,2924.99,2983.64,3131980.0
2020-02-18,2981.41,2984.97,2960.78,2990.6,3116659.25
2020-02-18,2981.41,2984.97,2960.78,2990.6,3116659.25
2020-02-18,2981.41,2984.97,2960.78,2990.6,3116659.25
2020-02-18,2981.41,2984.97,2960.78,2990.6,3116659.25
2020-02-18,2981.41,2984.97,2960.78,2990.6,3116659.25
2020-02-19,2979.52,2975.4,2971.82,2998.27,3151411.5
2020-02-19,2979.52,2975.4,2971.82,2998.27,3151411.5
2020-02-19,2979.52,2975.4,2971.82,2998.27,3151411.5
2020-02-19,2979.52,2975.4,2971.82,2998.27,3151411.5
2020-02-19,2979.52,2975.4,2971.82,2998.27,3151411.5
2020-02-20,2981.88,3030.15,2968.45,3031.37,3457328.75
2020-02-20,2981.88,3030.15,2968.45,3031.37,3457328.75
2020-02-20,2981.88,3030.15,2968.45,3031.37,3457328.75
2020-02-20,2981.88,3030.15,2968.45,3031.37,3457328.75
2020-02-20,2981.88,3030.15,2968.45,3031.37,3457328.75
2020-02-21,3022.25,3039.67,3020.14,3058.9,3645572.75
2020-02-21,3022.25,3039.67,3020.14,3058.9,3645572.75
2020-02-21,3022.25,3039.67,3020.14,3058.9,3645572.75
2020-02-21,3022.25,3039.67,3020.14,3058.9,3645572.75
2020-02-21,3022.25,3039.67,3020.14,3058.9,3645572.75
2020-02-24,3027.89,3031.23,3007.36,3042.18,3704300.5
2020-02-24,3027.89,3031.23,3007.36,3042.18,3704300.5
2020-02-24,3027.89,3031.23,3007.36,3042.18,3704300.5
2020-02-24,3027.89,3031.23,3007.36,3042.18,3704300.5
2020-02-24,3027.89,3031.23,3007.36,3042.18,3704300.5
2020-02-25,2982.07,3013.05,2943.72,3016.95,4416227.5
2020-02-25,2982.07,3013.05,2943.72,3016.95,4416227.5
2020-02-25,2982.07,3013.05,2943.72,3016.95,4416227.5
2020-02-25,2982.07,3013.05,2943.72,3016.95,4416227.5
2020-02-25,2982.07,3013.05,2943.72,3016.95,4416227.5
2020-02-26,2978.42,2987.93,2974.94,3028.78,4690495.5
2020-02-26,2978.42,2987.93,2974.94,3028.78,4690495.5
2020-02-26,2978.42,2987.93,2974.94,3028.78,4690495.5
2020-02-26,2978.42,2987.93,2974.94,3028.78,4690495.5
2020-02-26,2978.42,2987.93,2974.94,3028.78,4690495.5
2020-02-27,2992.49,2991.33,2980.48,3009.46,3505236.5
2020-02-27,2992.49,2991.33,2980.48,3009.46,3505236.5
2020-02-27,2992.49,2991.33,2980.48,3009.46,3505236.5
2020-02-27,2992.49,2991.33,2980.48,3009.46,3505236.5
2020-02-27,2992.49,2991.33,2980.48,3009.46,3505236.5
2020-02-28,2924.64,2880.3,2878.54,2948.13,4012169.25
2020-02-28,2924.64,2880.3,2878.54,2948.13,4012169.25
2020-02-28,2924.64,2880.3,2878.54,2948.13,4012169.25
2020-02-28,2924.64,2880.3,2878.54,2948.13,4012169.25
2020-02-28,2924.64,2880.3,2878.54,2948.13,4012169.25
2020-03-02,2899.31,2970.93,2899.31,2982.51,3673333.75
2020-03-02,2899.31,2970.93,2899.31,2982.51,3673333.75
2020-03-02,2899.31,2970.93,2899.31,2982.51,3673333.75
2020-03-02,2899.31,2970.93,2899.31,2982.51,3673333.75
2020-03-02,2899.31,2970.93,2899.31,2982.51,3673333.75
2020-03-03,3006.89,2992.9,2976.62,3026.84,4101080.5
2020-03-03,3006.89,2992.9,2976.62,3026.84,4101080.5
2020-03-03,3006.89,2992.9,2976.62,3026.84,4101080.5
2020-03-03,3006.89,2992.9,2976.62,3026.84,4101080.5
2020-03-03,3006.89,2992.9,2976.62,3026.84,4101080.5
2020-03-04,2981.81,3011.67,2974.36,3012.0,3533382.75
2020-03-04,2981.81,3011.67,2974.36,3012.0,3533382.75
2020-03-04,2981.81,3011.67,2974.36,3012.0,3533382.75
2020-03-04,2981.81,3011.67,2974.36,3012.0,3533382.75
2020-03-04,2981.81,3011.67,2974.36,3012.0,3533382.75
2020-03-05,3036.15,3071.68,3022.93,3074.26,4454258.0
2020-03-05,3036.15,3071.68,3022.93,3074.26,4454258.0
2020-03-05,3036.15,3071.68,3022.93,3074.26,4454258.0
2020-03-05,3036.15,3071.68,3022.93,3074.26,4454258.0
2020-03-05,3036.15,3071.68,3022.93,3074.26,4454258.0
2020-03-06,3039.94,3034.51,3029.46,3052.44,3620615.25
2020-03-06,3039.94,3034.51,3029.46,3052.44,3620615.25
2020-03-06,3039.94,3034.51,3029.46,3052.44,3620615.25
2020-03-06,3039.94,3034.51,3029.46,3052.44,3620615.25
2020-03-06,3039.94,3034.51,3029.46,3052.44,3620615.25
2020-03-09,2987.18,2943.29,2940.71,2989.21,4145607.25
